timestamp,nav,cash,gross_exposure,net_exposure,leverage,daily_pnl,drawdown
1613520000000000000,930680,788402,142278,142278,0.152875,-732.882,0.078538
1613606400000000000,930754,788402,142352,142352,0.152943,74.6391,0.0784641
1613692800000000000,931803,788402,143401,143401,0.153896,1048.43,0.0774261
1613779200000000000,930144,788402,141742,141742,0.152387,-1658.69,0.0790683
1613865600000000000,931190,788402,142788,142788,0.153339,1046.14,0.0780326
1613952000000000000,931914,788402,143512,143512,0.153997,723.435,0.0773163
1614038400000000000,931081,788402,142679,142679,0.15324,-832.542,0.0781406
1614124800000000000,929487,788402,141085,141085,0.151788,-1594.25,0.079719
1614211200000000000,927829,850036,77793.5,77793.5,0.0838446,-1657.89,0.0813605
1614297600000000000,928338,928338,0,0,0,508.939,0.0808566
1614384000000000000,928338,928338,0,0,0,0,0.0808566
1614470400000000000,928338,928338,0,0,0,0,0.0808566
1614556800000000000,928338,928338,0,0,0,0,0.0808566
1614643200000000000,928338,928338,0,0,0,0,0.0808566
1614729600000000000,928338,928338,0,0,0,0,0.0808566
1614816000000000000,928338,928338,0,0,0,0,0.0808566
1614902400000000000,928338,928338,0,0,0,0,0.0808566
1614988800000000000,928338,928338,0,0,0,0,0.0808566
1615075200000000000,928338,928338,0,0,0,0,0.0808566
1615161600000000000,928338,928338,0,0,0,0,0.0808566
1615248000000000000,928338,928338,0,0,0,0,0.0808566
1615334400000000000,928338,928338,0,0,0,0,0.0808566
1615420800000000000,928189,864967,63221.4,63221.4,0.0681126,-149.1,0.0810042
1615507200000000000,926928,926928,0,0,0,-1260.4,0.0822522
1615593600000000000,926928,926928,0,0,0,0,0.0822522
1615680000000000000,926928,926928,0,0,0,0,0.0822522
1615766400000000000,927430,823153,104277,104277,0.112436,501.042,0.0817561
1615852800000000000,929078,823153,105926,105926,0.114011,1648.62,0.0801238
1615939200000000000,928837,823153,105684,105684,0.113781,-241.384,0.0803628
1616025600000000000,927608,823153,104455,104455,0.112607,-1228.95,0.0815796
1616112000000000000,929042,823153,105889,105889,0.113977,1434.09,0.0801597
1616198400000000000,931245,823153,108092,108092,0.116073,2202.67,0.0779788
1616284800000000000,931560,823153,108408,108408,0.116372,315.882,0.0776661
1616371200000000000,929033,823153,105880,105880,0.113968,-2527.75,0.0801688
1616457600000000000,929033,823153,105880,105880,0.113968,0,0.0801688
1616544000000000000,929213,823153,106060,106060,0.11414,179.865,0.0799907
1616630400000000000,929213,823153,106060,106060,0.11414,0,0.0799907
1616716800000000000,928081,823153,104928,104928,0.113059,-1131.82,0.0811113
1616803200000000000,923033,823153,99880.1,99880.1,0.108209,-5048.01,0.0861093
1616889600000000000,923033,823153,99880.1,99880.1,0.108209,0,0.0861093
1616976000000000000,922131,823153,98978.5,98978.5,0.107337,-901.651,0.087002
1617062400000000000,925508,823153,102356,102356,0.110594,3377.35,0.0836581
1617148800000000000,927864,823153,104711,104711,0.112852,2355.39,0.0813261
1617235200000000000,923032,823153,99879.8,99879.8,0.108208,-4831.46,0.0861097
1617321600000000000,926206,823153,103053,103053,0.111264,3173.18,0.0829679
1617408000000000000,924142,708505,215636,215636,0.233337,-2063.96,0.0850115
1617494400000000000,924713,708505,216208,216208,0.233811,571.323,0.0844458
1617580800000000000,921755,809876,111879,111879,0.121376,-2957.67,0.0873742
1617667200000000000,918689,809876,108813,108813,0.118444,-3066.38,0.0904102
1617753600000000000,920092,809876,110216,110216,0.119788,1403.03,0.089021
1617840000000000000,920092,809876,110216,110216,0.119788,0,0.089021
1617926400000000000,917054,809876,107178,107178,0.116872,-3038.01,0.092029
1618012800000000000,917054,809876,107178,107178,0.116872,0,0.092029
1618099200000000000,917602,809876,107726,107726,0.117399,547.908,0.0914865
1618185600000000000,917940,917940,0,0,0,338.573,0.0911513
1618272000000000000,917940,917940,0,0,0,0,0.0911513
1618358400000000000,917940,917940,0,0,0,0,0.0911513
1618444800000000000,917940,917940,0,0,0,0,0.0911513
1618531200000000000,917940,917940,0,0,0,0,0.0911513
1618617600000000000,917940,917940,0,0,0,0,0.0911513
1618704000000000000,917940,917940,0,0,0,0,0.0911513
1618790400000000000,917940,917940,0,0,0,0,0.0911513
1618876800000000000,917940,917940,0,0,0,0,0.0911513
1618963200000000000,917940,917940,0,0,0,0,0.0911513
